verdict,statement_originator,statement,questions to verify the statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,
MOSTLY TRUE,Joe Biden,"“That’s not just saving seniors money, it’s saving taxpayers money,” Biden said, referring to the Inflation Reduction Act, which contained several measures to reduce drug prices. “We cut the federal deficit by $160 billion.",Has the Inflation Reduction Act reduced the federal deficit? (It plans to),3/7/2024,State of the Union speech,CNN,3/8/2024,https://www.cnn.com/2024/03/07/politics/fact-check-joe-biden-state-of-the-union/index.html,
MOSTLY TRUE,Joe Biden,"“I have been delivering real results in fiscally responsible ways. We’ve already cut the federal deficit – we’ve already cut the federal deficit of over $1 trillion.""",What was the federal deficit in 2020? What is the federal deficit in 2024? What are the main causes for the change in the federal deficit between 2020-2024?,3/7/2024,State of the Union speech,CNN,3/8/2024,https://www.cnn.com/2024/03/07/politics/fact-check-joe-biden-state-of-the-union/index.html,"“The deficit is a trillion dollars lower, roughly, than when President Biden took office. That’s true. But that’s driven not because he ‘reduced’ the deficit by a trillion dollars, but because when he took office it was the middle of Covid and we had been temporarily injecting huge sums of money into the economy,”"
TRUE,Joe Biden,"""Biden claimed the economy created a record 15 million jobs in the first three years of his term.""",x,3/7/2024,State of the Union speech,CNN,3/8/2024,https://www.cnn.com/2024/03/07/politics/fact-check-joe-biden-state-of-the-union/index.html,
FALSE,Joe Biden,"“Remember in 2020, 55 of the biggest companies in America made $40 billion and paid zero in federal income taxes. Zero. Not anymore. Thanks to the law I wrote and we signed, big companies have to pay a minimum of 15%.""",x,3/7/2024,State of the Union speech,CNN,3/8/2024,https://www.cnn.com/2024/03/07/politics/fact-check-joe-biden-state-of-the-union/index.html,
TRUE,Joe Biden,"""Violent crime has fallen to lowest levels in ‘more than 50 years’""",x,3/7/2024,State of the Union speech,CNN,3/8/2024,https://www.cnn.com/2024/03/07/politics/fact-check-joe-biden-state-of-the-union/index.html,
MOSTLY TRUE,Joe Biden,"""“Our trade deficit with China is down to the lowest point in over a decade We’re standing up against China’s unfair economic practices.”",What is the US trade deficit with China in 2023? What policy/policies are responsible for the narrowing trade gap?,3/7/2024,State of the Union speech,CNN,3/8/2024,https://www.cnn.com/2024/03/07/politics/fact-check-joe-biden-state-of-the-union/index.html,
FALSE,Katie Britt,"""We have the worst inflation in 40 years""","What is the U.S. inflation rate in 2019,2020,2021,2022, and 2023?",3/7/2024,State of the Union GOP response speech,CNN,3/8/2024,https://www.cnn.com/2024/03/07/politics/fact-check-joe-biden-state-of-the-union/index.html,
HALF TRUE,Katie Britt,"""President Biden inherited the most secure border of all time. But minutes after taking office, he suspended all deportations.”""",Did President Biden suspend deportions after taking office? How does suspending deportation affect border security? How strong was border security under Donald Trump compared to previous presidents?,3/7/2024,State of the Union GOP response speech,CNN,3/8/2024,,
MOSTLY FALSE,Robert F. Kennedy Jr.,"""Those two men, during their terms as president, both worked to close our main street businesses for a year — 3.3 million businesses with no due process, no scientific citation, no public hearings, no environmental impact statement. They just told us to shut them down.""",How many business closed under COVID-19?,3/26/2024,Speech,factcheck.org,3/27/2024,https://factcheck.org/2024/03/factchecking-rfk-jr-s-v-p-announcement/,
MOSTLY TRUE,Ron DeSantis,"“She spent 100% of her money attacking me, and not one red cent attacking Donald Trump,” DeSantis claimed. “And I faced almost $50 million in total. I got in second and she did not.”",How much money did Haley’s campaign and allied super PACs spend on ads targeting DeSantis. How much money did  Haley’s campaign and allied super PACs spend on ads targeting Donalrd Trump?,1/16/2024,Speech,CNN,1/26/2024,https://www.cnn.com/2024/01/16/politics/fact-check-ron-desantis-town-hall-new-hampshire/index.html,
MOSTLY FALSE,Ron DeSantis,"“New York City had to close a school, You literally have kids told, ‘Don’t go to school,’ because they commandeered the school to be able to house illegal aliens.”",Did a New York City school close to house undocumented immigrants ? ,1/16/2024,Speech,CNN,1/26/2024,,
MOSTLY TRUE,Ron DeSantis,"""Taxpayer dollars are going overseas to do things like promote ‘transgenderism’ in Bangladesh.”",What is transgenderism? Does US aid support trans rights in Bangladesh? How much money is sent from the U.S. to Bandladesh for human rights aid and specfically LGBTQ protection?,1/16/2024,Speech,CNN,1/26/2024,,
MOSTLY TRUE,Ron DeSantis,"""President Joe Biden relaxed sanctions on Iran.”",How did U.S. Sanctions change during president biden's presideny? ,1/16/2024,Speech,CNN,1/26/2024,,
MOSTLY TRUE,Joe Biden,"""Starting in 2025 ""no matter what your total bills are for prescription drugs,” Medicare Part D users will never pay “more than $2,000 a year, because some of these cancer drugs are 10(,000 to) 15,000 bucks a year.”",x,4/9/2024,Interview,Politifact,4/18/2024,https://www.politifact.com/factchecks/2024/apr/18/joe-biden/bidens-statement-about-capping-prescription-costs/,
MOSTLY FALSE,Joe Biden,"""Speaking of semiconductor industry jobs, ""Know what the average salary is? $110,000. You don't need a college degree.""",x,4/8/2024,Speech,Politifact,4/15/2024,,
MOSTLY TRUE,Joe Biden,"“Support for Roe is higher today in America than it has ever been.""",x,4/8/2024,Facebook Post,Politificact,4/10/2024,https://www.politifact.com/factchecks/2024/apr/10/joe-biden/joe-biden-largely-right-about-high-level-of-us-sup/,
HALF TRUE,Joe Biden,"""Insulin for Medicare beneficiaries ""was costing 400 bucks a month on average. It now costs $35 a month.""",x,3/19/2024,Speech,Politificact,4/2/2024,https://www.politifact.com/factchecks/2024/apr/02/joe-biden/biden-is-right-about-35-insulin-cap-but-exaggerate/,
MOSTLY FALSE,Joe Biden,"""The 2022 CHIPS and Science Act “attracted $640 billion in private companies’ investments.”",x,2/12/2024,Speech,Politificact,2/29/2024,,
HALF TRUE,Joe Biden,"“Tens of thousands of auto jobs were lost nationwide during Trump's presidency,” but during Biden’s presidency, “we've created more than 250,000 auto jobs.”",x,1/24/2024,Speech,Politifact,1/29/2024,https://www.politifact.com/factchecks/2024/jan/29/joe-biden/fact-checking-joe-biden-on-auto-jobs-gained-and-lo/,
FALSE,Threads Post,"""“Not even one rocket (from Iran) hit Israel.”",x,4/14/2024,Post,Politifact,4/15/2024,https://www.politifact.com/factchecks/2024/apr/15/threads-posts/most-of-irans-missiles-were-intercepted-but-some-r/,
FALSE,Instagram Post,"""326,000 migrants were flown to Florida with taxpayer dollars under President Joe Biden’s secret migrant flight program.""","Who pays for the U.S. parole flights from Cuba, Haiti, Nicaragua and Venezuela?",4/4/2024,,Politifact,4/12/2024,https://www.politifact.com/factchecks/2024/apr/12/instagram-posts/migrants-were-not-secretly-flown-to-florida-with-t/,
FALSE,Donald Trump,"""Crime is down in Venezuela by 67% because they're taking their gangs and their criminals and depositing them very nicely into the United States.”",x,4/2/2024,Speech,Politifact,4/10/2024,https://www.politifact.com/factchecks/2024/apr/10/donald-trump/donald-trump-exaggerates-venezuelan-crime-drop-and/,
PANTS ON FIRE,ROBERT F. Kennedy Jr.,"""On Jan. 6, 2021, U.S. Capitol “protestors carried no weapons.”",Did any protestors at the Jan 6 protest carry weapons?,04/05/2024,Written Copy on Website,Politfact,04/05/2024,,
FALSE,Benny Johnson,"""Video shows “New York Governor Kathy Hochul being denied entry into the wake for slain NYPD officer Jonathan Diller.”",x,3/30/2024,Video,Politifact,04/05/2024,,
TRUE,Brian Schimmings,"""We’ve had 12 elections in 24 years in Wisconsin that have been decided by less than 30,000 votes.”",x,3/6/2024,Media Call,Politifact,04/05/2024,https://www.politifact.com/factchecks/2024/apr/05/brian-schimming/has-wisconsin-really-had-12-elections-since-2000-d/,
MOSTLY TRUE,Donna Brazile,"""The current Congress is “the least productive in our lifetime.”",How do you evaluate the productivity of U.S. Congress?,3/24/2024,TV appearence ,Politifact,4/3/2024,https://www.politifact.com/factchecks/2024/apr/03/donna-brazile/is-the-current-congress-the-least-productive-of-ou/,
FALSE,Donald Trump,"""Remember I used to say a long time ago, ‘Don’t go into Iraq. Don’t do it!’ But I was only a civilian, so I didn’t get that much press. I said, ‘Don’t go into Iraq, but if you’re going to do it, keep the oil.’ Do you remember I used to say that all the time? Keep the oil. ‘Don’t do it, but keep the oil""",x,2/24/2024,Speech,CNN,2/24/2024,https://www.cnn.com/2024/02/24/politics/fact-check-trump-delivers-another-lie-filled-cpac-speech/index.html,
FALSE,Donald Trump,"""I ended Nord Stream” and that “I stopped it, it was over.""",x,2/24/2024,Speech,CNN,2/24/2024,https://www.cnn.com/2024/02/24/politics/fact-check-trump-delivers-another-lie-filled-cpac-speech/index.html,
PANTS ON FIRE,Donald Trump,"""[Joe Biden] indicted me.” “Stalinist show trials carried out at the Joe Biden orders.”",Who indicted Donald Trump?,2/24/2024,Speech,CNN,2/24/2024,https://www.cnn.com/2024/02/24/politics/fact-check-trump-delivers-another-lie-filled-cpac-speech/index.html,
PANTS ON FIRE,Donald Trump,"""I’ve been indicted more than Alphonse Capone.""",x,2/24/2024,Speech,CNN,2/24/2024,https://www.cnn.com/2024/02/24/politics/fact-check-trump-delivers-another-lie-filled-cpac-speech/index.html,
FALSE,Donald Trump,"""I’ll tell you what: If I didn’t bring in the National Guard – ’cause the governor didn’t want to do it, they’d never want to do it … I wish I didn’t wait six days – but if I didn’t bring in the National Guard, wouldn’t even have a city there. That city was going down,""",Who deployed the Minnesota National Guard during the June 2020 unrest?,2/24/2024,Speech,CNN,2/24/2024,https://www.cnn.com/2024/02/24/politics/fact-check-trump-delivers-another-lie-filled-cpac-speech/index.html,
FALSE,Donald Trump,“We built 571 miles of border wall.”,x,2/24/2024,Speech,CNN,2/24/2024,https://www.cnn.com/2024/02/24/politics/fact-check-trump-delivers-another-lie-filled-cpac-speech/index.html,
FALSE,Donald Trump,“All- electric cars. The all-electric mandate. Everybody has to have an electric car.”,x,2/24/2024,Speech,CNN,2/24/2024,https://www.cnn.com/2024/02/24/politics/fact-check-trump-delivers-another-lie-filled-cpac-speech/index.html,
FALSE,Donald Trump,"""“And then you wonder why we have a $2 trillion deficit. If you look at it now, it’s gotten to a level that nobody can even believe; it’s so bad under Biden.”'",x,2/24/2024,Speech,CNN,2/24/2024,https://www.cnn.com/2024/02/24/politics/fact-check-trump-delivers-another-lie-filled-cpac-speech/index.html,
FALSE,Donald Trump,"""And President Xi – I told him this – said, ‘All right, well, we won’t do it. We won’t do it.’ They didn’t buy. By the way, they’re buying billions and billion worth of oil right now. But China didn’t buy.""",x,2/24/2024,Speech,CNN,2/24/2024,https://www.cnn.com/2024/02/24/politics/fact-check-trump-delivers-another-lie-filled-cpac-speech/index.html,
MOSTLY FALSE,Kathy Hochul,"""In New York, there are no barriers to law enforcement to work with the federal government on immigration laws, and there are 100 crimes where migrants can be handed over.""",x,2/22/2024,Interivew,Politifact,3/29/2024,https://www.politifact.com/factchecks/2024/mar/29/kathy-hochul/patchwork-of-laws-and-edicts-limit-cooperation-bet/,
