Assignee,verdict,statement_originator,statement,questions to verify the statement,statement_date,context,factchecker,factcheck_date,factcheck_analysis_link,Gold Label,Reasoning
Sunny,MOSTLY FALSE,Kathy Hochul,"""In New York, there are no barriers to law enforcement to work with the federal government on immigration laws, and there are 100 crimes where migrants can be handed over.""",x,2024-02-22,Interview,PolitiFact,3/29/2024,https://www.PolitiFact.com/factchecks/2024/mar/29/kathy-hochul/patchwork-of-laws-and-edicts-limit-cooperation-bet/,,
,FALSE,Donald Trump,"""And then you wonder why we have a $2 trillion deficit. If you look at it now, it’s gotten to a level that nobody can even believe; it’s so bad under Biden.""",x,2024-02-24,Speech,CNN,2/24/2024,https://www.cnn.com/2024/02/24/politics/fact-check-trump-delivers-another-lie-filled-cpac-speech/index.html,no,
,FALSE,Donald Trump,"""And President Xi – I told him this – said, ‘All right, well, we won’t do it. We won’t do it.’ They didn’t buy. By the way, they’re buying billions and billion worth of oil right now. But China didn’t buy.""",x,2024-02-24,Speech,CNN,2/24/2024,https://www.cnn.com/2024/02/24/politics/fact-check-trump-delivers-another-lie-filled-cpac-speech/index.html,no,
,FALSE,Donald Trump,"""I ended Nord Stream” and that “I stopped it, it was over.""",x,2024-02-24,Speech,CNN,2/24/2024,https://www.cnn.com/2024/02/24/politics/fact-check-trump-delivers-another-lie-filled-cpac-speech/index.html,no,
,FALSE,Donald Trump,"""I’ll tell you what: If I didn’t bring in the National Guard – ’cause the governor didn’t want to do it, they’d never want to do it … I wish I didn’t wait six days – but if I didn’t bring in the National Guard, wouldn’t even have a city there. That city was going down,""",Who deployed the Minnesota National Guard during the June 2020 unrest?,2024-02-24,Speech,CNN,2/24/2024,https://www.cnn.com/2024/02/24/politics/fact-check-trump-delivers-another-lie-filled-cpac-speech/index.html,no,
,FALSE,Donald Trump,"""Remember I used to say a long time ago, ‘Don’t go into Iraq. Don’t do it!’ But I was only a civilian, so I didn’t get that much press. I said, ‘Don’t go into Iraq, but if you’re going to do it, keep the oil.’ Do you remember I used to say that all the time? Keep the oil. ‘Don’t do it, but keep the oil""",x,2024-02-24,Speech,CNN,2/24/2024,https://www.cnn.com/2024/02/24/politics/fact-check-trump-delivers-another-lie-filled-cpac-speech/index.html,no,
,FALSE,Donald Trump,“We built 571 miles of border wall.”,x,2024-02-24,Speech,CNN,2/24/2024,https://www.cnn.com/2024/02/24/politics/fact-check-trump-delivers-another-lie-filled-cpac-speech/index.html,no,
,TRUE,Patrick Burke,The Great Lakes account for “over 20% of the world’s freshwater and over 80% of North America’s freshwater.”,,2024-03-02,,PolitiFact,,https://www.politifact.com/factchecks/2024/mar/20/patrick-burke/do-the-great-lakes-account-for-over-20-of-the-worl/,,"Two of the five Great Lakes — Erie and Ontario — border New York state. And a New York state legislator recently touted the lakes’ importance to the continent’s and the world’s water supply. New York State Assembly member Patrick Burke, whose Buffalo-area district almost touches Lake Erie, introduced a bill this month that would create a ""Great Lakes Bill of Rights"" to give residents ""a role in the decision-making process regarding current and future projects that impact the ecosystem."" In a press release introducing the bill, Burke wrote that the Great Lakes account for ""over 20% of the world’s freshwater and over 80% of North America’s freshwater."" Official data says Burke is correct. Burke’s office did not answer a request for comment. Sign up for PolitiFact texts How great are the lakes? Besides Erie and Ontario, the Great Lakes include Superior, Michigan and Huron to the west. According to the U.S. Environmental Protection Agency, the Great Lakes account for 21% of the world’s freshwater and 84% of North America's surface fresh water. That’s in line with what Burke said. Such percentages may sound like a lot, but Joseph Atkinson, the director for the Great Lakes Program at the University at Buffalo, told PolitiFact that even such large reserves cannot last indefinitely without careful conservation. ""if you start diverting the water from the Great Lakes to other areas of the U.S., depending on how much is moved, they won’t be able to provide as much fresh water as they would if the water remained where it was,"" Atkinson said. If the water being removed ""exceeds the water coming in, the water levels will drop indefinitely."" Besides providing fresh drinking water, the Great Lakes provide energy through hydroelectric power. The Robert Moses Niagara Hydroelectric Power Station and the Lewiston Pump Generating Plant are New York State’s two largest hydroelectric power plants, according to the New York Power Authority. Both are near Niagara Falls, which is formed by the Niagara River; the Niagara River carries water from Lake Erie into Lake Ontario. ""The hydroelectric power plant at Niagara Falls was one of the first in the country, and it's still a pretty large contributor to New York's power supply,"" Atkinson said. Conservation efforts The Great Lakes Water Quality Agreement, signed April 15, 1972, involved pledges by Canada and the United States to protect the Great Lakes. The agreement sets limits on phosphorus levels flowing into the lakes. Too much phosphorus would make the lakes subject to too much growth by algae and other invasive plants, Atkinson said. ""It's very important to conserve the Great Lakes,"" Atkinson said. The lakes, he said, ""are essential to our existence."" Our ruling Burke said the Great Lakes account for ""over 20% of the world’s freshwater and over 80% of North America’s freshwater."" The U.S. Environmental Protection Agency says the Great Lakes account for 21% of the world’s freshwater and 84% of North America's surface fresh water. That’s in line with what Burke said. We rate the statement True."
,TRUE,Sarah Godlewski,"“When it comes to how many votes (President) Joe Biden won, it was literally less than a few votes per ward.”",,2024-03-03,,PolitiFact,,https://www.politifact.com/factchecks/2024/mar/28/sarah-godlewski/did-the-2020-presidential-election-in-wisconsin-re/,,"At a rally in suburban Waukesha earlier this month, first lady Jill Biden and other Democratic officials laid out what’s at stake in the 2024 election, focusing on abortion and health care access. Secretary of State Sarah Godlewski was one of the speakers who took the stage before the first lady, asking a crowd of mostly women voters to talk to their neighbors and help get out the vote. ""When it comes to how many votes (President) Joe Biden won, it was literally less than a few votes per ward,"" Godlewski said. We often mention that Biden won Wisconsin in 2020 by a little more than 20,000 votes. But taking a look at the votes by ward could give an interesting picture of how competitive the election was – and could be again this fall. And other Democrats seem to be repeating the same message, including when Biden visited his new campaign headquarters in Milwaukee. Sign up for PolitiFact texts ""In Wisconsin, every election comes down to three to four votes per ward,"" the state party’s Deputy Organizing Director Jaliah Jefferson said at that event. As the state heads for a rematch between Biden and former President Donald Trump, let’s look at how many votes it came down to by ward last time. Number came from dividing votes by total number of wards in Wisconsin When we asked for backup, Nathan Schwantes, Godlewski’s chief of staff, said the secretary of state was talking about the entire state of Wisconsin, not a specific city or county. He explained that Biden won the state by 20,682 votes (which is correct) and that Wisconsin had 6,656 wards where voters lived. That division results in 3.1 votes per ward. He added that there’s a slightly different count of wards in Wisconsin, which includes wards where no voters live. That number was 7,078, giving a result of 2.9 voters. State law says that wards are the ""building blocks"" for creating districts for local, state and federal offices. And ""all territory, even if unpopulated, must be contained in a ward."" That explains why some wards might not actually have voters in them. Schwantes shared an email from the nonpartisan Legislative Technology Services Bureau, which confirms the 7,078 number. That total was from July, because the next count was not taken until January. Whichever total ward number is used, the calculations result in around a few votes per ward. So, Godlewski’s math is correct. Calculation takes wards together as an average, though certain areas voted differently Wards vary widely in population. And blue areas of the state would have delivered many more votes for Biden per ward, and red areas would have delivered much less. For example, Biden lost Waukesha County to Trump — where Godlewski made the claim — by 55,743 votes. Looking at the ward-by-ward report of 2020 presidential results, Waukesha County had about 387 wards, so that comes down to about 144 votes per ward that Biden lost by. The similar claim, from Jefferson, simply said that elections in Wisconsin come down to a few votes per ward — not that Biden specifically won or lost those few votes everywhere. For comparison, in Milwaukee County — where Jefferson made her claim — Biden won over Trump by 183,045 votes. Milwaukee County had about 572 wards, coming down to about 320 votes per ward that Biden won by. Counties use ""reporting units"" to report results, which can be one ward or a group of wards. So, our analysis of those counties is an estimate and includes wards where no voters live — there are many like that in the City of Waukesha. Biden certainly didn’t win — or lose — by three votes per ward in every county, but it is the right average. It’s clear that Godlewski was speaking generally about the entire state. And presidents are elected based on how many electoral votes the entire state has, not by counties or wards. Our ruling At a Waukesha rally, Secretary of State Sarah Godlewski said ""when it comes to how many votes Joe Biden won, it was literally less than a few votes per ward."" Although ""less than a few"" is open to interpretation, 2.9 or 3.1 is certainly a small number, considering that several hundred voters can live in one ward. And although her claim doesn’t require a caveat because presidents are elected statewide, we should still note that Biden’s vote-per-ward margin would have been larger or smaller in certain areas of the state. We rate her claim True."
Anissa,TRUE,Brian Schimmings,"""We’ve had 12 elections in 24 years in Wisconsin that have been decided by less than 30,000 votes.”",x,2024-03-06,Media Call,PolitiFact,04/05/2024,https://www.PolitiFact.com/factchecks/2024/apr/05/brian-schimming/has-wisconsin-really-had-12-elections-since-2000-d/,,
,HALF TRUE,Joe Biden,"""[The Trump Administration] added more to the national debt than any presidential term in American history. Check the numbers.”","What was the national debt at the begining of trump's presidency, what was it at the end? How does this number compare to all previous presidential terms in American History?",2024-03-07,State of the Union speech,CNN,3/8/2024,https://www.cnn.com/2024/03/07/politics/fact-check-joe-biden-state-of-the-union/index.html,no,
,HALF TRUE,Katie Britt,"""President Biden inherited the most secure border of all time. But minutes after taking office, he suspended all deportations.""",Did President Biden suspend deportions after taking office? How does suspending deportation affect border security? How strong was border security under Donald Trump compared to previous presidents?,2024-03-07,State of the Union GOP response speech,CNN,3/8/2024,https://www.cnn.com/2024/03/07/politics/fact-check-joe-biden-state-of-the-union/index.html,no,
,MOSTLY TRUE,Joe Biden,"“I have been delivering real results in fiscally responsible ways. We’ve already cut the federal deficit – we’ve already cut the federal deficit of over $1 trillion.""",What was the federal deficit in 2020? What is the federal deficit in 2024? What are the main causes for the change in the federal deficit between 2020-2024?,2024-03-07,State of the Union speech,CNN,3/8/2024,https://www.cnn.com/2024/03/07/politics/fact-check-joe-biden-state-of-the-union/index.html,no,
Shayan,FALSE,Katie Britt,"""We know that President Biden didn’t just create this border crisis. He invited it with 94 executive actions in his first 100 days. When I took office, I took a different approach. I traveled to the Del Rio sector of Texas. That’s where I spoke to a woman who shared her story with me. She had been sex trafficked by the cartels starting at the age of 12. She told me not just that she was raped every day, but how many times a day she was raped. The cartels put her on a mattress in a shoe box of a room, and they sent men through that door over and over again for hours and hours on end. We wouldn’t be okay with this happening in a Third World country. This is the United States of America, and it is past time, in my opinion, that we start acting like it. President Biden’s border policies are a disgrace.""",,2024-03-07,Republican response to the State of the Union address,Washington Post,3/9/2024,https://archive.is/DOs5y#selection-741.0-741.810,,
,FALSE,Joe Biden,"“Remember in 2020, 55 of the biggest companies in America made $40 billion and paid zero in federal income taxes. Zero. Not anymore. Thanks to the law I wrote and we signed, big companies have to pay a minimum of 15%.""",x,2024-03-07,State of the Union speech,CNN,3/8/2024,https://www.cnn.com/2024/03/07/politics/fact-check-joe-biden-state-of-the-union/index.html,no,
,FALSE,Katie Britt,"""We have the worst inflation in 40 years""","What is the U.S. inflation rate in 2019,2020,2021,2022, and 2023?",2024-03-07,State of the Union GOP response speech,CNN,3/8/2024,https://www.cnn.com/2024/03/07/politics/fact-check-joe-biden-state-of-the-union/index.html,no,
,TRUE,Tammy Baldwin,“We’re facing situations these days where you have to have two officers in the evidence room in case there’s an accidental (fentanyl) exposure.”,,2024-03-07,,PolitiFact,,https://www.politifact.com/factchecks/2024/mar/29/tammy-baldwin/yes-many-wisconsin-police-agencies-have-two-office/,,"U.S. Sen. Tammy Baldwin spoke about the fentanyl crisis in a March 7 media call ahead of the State of the Union, alongside the Waukesha police chief, who attended President Joe Biden’s speech with Baldwin. Fentanyl is an extremely powerful synthetic opioid, known for its ability to kill in small doses. The drug is commonly mixed into drugs such as heroin and cocaine, but can also be found in pressed pills and even in marijuana, police say. PolitiFact has looked at claims regarding fentanyl and accidental overdoses before, when envelopes containing unknown substances were sent to elections officials in 2023. According to a Nov. 10, 2023, fact-check, although fentanyl is dangerous, and it can be lethal in small doses, it must enter the bloodstream to have an effect. The drug isn’t absorbed well by the skin, meaning it must be snorted through the nose, ingested or injected with a needle. People also cannot get sick by being in a room with powdered fentanyl, because it doesn’t easily vaporize. A source in the fact check said to cause toxicity from breathing it in, ""You would probably have to be in a wind tunnel with dunes of fentanyl around you."" Sign up for PolitiFact texts But people can get sick if they touch the drug and then touch their mouth, nose or eyes. In 2022, there were over 1,400 opioid-related deaths in Wisconsin, many of them tied to fentanyl, according to a February 2024 PolitiFact. During the call, Baldwin made a claim that initially had us — and probably others — scratching our heads: ""We’re facing situations these days where you have to have two officers in the evidence room in case there’s an accidental (fentanyl) exposure. We are facing situations where first responders have been exposed to fentanyl at the crime scene and that is scary and we need to provide the support, the tools, the test strips, and all the training necessary to keep our first responders safe so that they can keep all of us safe."" Why would two officers need to be present to test a drug? Is it a safety precaution or something else? Many agencies have policies to have two officers present during drug analysis When we asked Baldwin’s team about the claim, press secretary Alanna Conley pointed us toward the Sheboygan County Sheriff’s Department, which recently shared its policies with Baldwin. Sheriff Cory Roeseler said in an email to PolitiFact Wisconsin that several years ago someone was exposed during testing of a suspected narcotic, which ended up having fentanyl in it. ""As a result our testing procedure changed. First we started using two officers, one in the room where the drugs are being tested and one outside the room in the event that there was an exposure,"" he said. ""Second we purchased a specific chamber to use to test the drugs so that it might limit any potential exposure and this chamber is vented/filtered. Lastly, we have Narcan readily available in our testing area in the event that there was an exposure where it might be needed."" He said there have been exposures for at least one deputy, who was transporting a drug in to be processed, and another for a corrections officer, who was exposed during booking and had to be hospitalized. The Sheboygan sheriff’s department isn’t the only agency that uses two people when narcotics are being handled. Jim Palmer, a member of the Board of Directors for the Wisconsin Law Enforcement Accreditation Group, said in an email that ""the practice of having two individuals work in an evidence room as a safety precaution has become increasingly common."" He said that a second person can be used in handling certain types of dangerous evidence, according to standards created by the group. The standards also recommend the use of gloves, a respirator, a fume hood and having naloxone available. Palmer pointed to the Madison Police Department, whose guidance takes the standards into account. According to the department’s document on handling evidence and contraband, ""the best practice is to be paired up with at least one other officer."" ""The second ‘safety officer’ will not be directly involved in the testing, handling or packaging of the drug, but can perform other support functions such as computer entries."" Waukesha Police Capt. Dan Baumann said his department handles drugs similarly, given that so many different substances can be cut with fentanyl. There is the evidence room, and within that, there is a smaller processing room about the size of an office bathroom. In that smaller room, there’s a hood providing a gentle amount of filtered air. ""An officer that would stand outside the room, and then an officer that stands on the inside of the room that’s actually collecting and packaging the evidence, testing it, weighing it and all that fun stuff,"" Baumann said in a phone call with PolitiFact Wisconsin. There is also Narcan on hand, in case there is a large enough exposure. ""Somebody with medical training is going to be present with you, just in case something were to happen,"" he said. ""We’re going to take all precautionary measures."" The Milwaukee Police Department has a similar policy, according to its controlled substances procedures: ""The ‘buddy system’ shall always be used when testing suspected controlled substances, regardless of the type or quantity. Two members shall be present, one to test and one to witness,"" the procedures document says. Our ruling Baldwin said police are ""facing situations these days where you have to have two officers in the evidence room in case there’s an accidental (fentanyl) exposure."" In Wisconsin, there is guidance from the Wisconsin Law Enforcement Accreditation Group to have two officers present, and several agencies have guidance calling for one officer inside the room where drugs are being handled and tested, and another stands outside to ensure the other is safe. We rate this claim as True."
,TRUE,Joe Biden,"""Biden claimed the economy created a record 15 million jobs in the first three years of his term.""",x,2024-03-07,State of the Union speech,CNN,3/8/2024,https://www.cnn.com/2024/03/07/politics/fact-check-joe-biden-state-of-the-union/index.html,no,
,TRUE,Joe Biden,"""The economy has added “800,000 new manufacturing jobs” during his administration.""","According to U.S. Bureau of Labor Statistics data, How many new manufacturing jobs have been added under Biden's adminsitraiton?",2024-03-07,State of the Union speech,CNN,3/8/2024,https://www.cnn.com/2024/03/07/politics/fact-check-joe-biden-state-of-the-union/index.html,no,
,TRUE,Joe Biden,"""Violent crime has fallen to lowest levels in ‘more than 50 years’""",x,2024-03-07,State of the Union speech,CNN,3/8/2024,https://www.cnn.com/2024/03/07/politics/fact-check-joe-biden-state-of-the-union/index.html,no,
Ha Yeon ,MOSTLY TRUE,Donald Trump,"""Now, if I don’t get elected, it’s going to be a bloodbath for the whole — that’s gonna be the least of it. It’s going to be a bloodbath for the country.""",,2024-03-17,Speech,Snopes,3/17/2024,https://www.snopes.com/fact-check/trump-bloodbath-for-country/,,
,TRUE,António Guterres,"Gaza has “the highest number of people facing catastrophic hunger ever recorded by the Integrated Food Security Classification system — anywhere, anytime.”",,2024-03-18,,PolitiFact,,https://www.politifact.com/factchecks/2024/mar/26/antonio-guterres/fact-checking-un-secretary-generals-remarks-about/,,"In Gaza, experts and journalists say, food is running out. Some people are making ""bread"" from animal feed ground into flour or ""soup"" from water and weeds, according to news reports. But even those food sources are being exhausted, warned experts who evaluate food insecurity and famine. ""Palestinians in Gaza are enduring horrifying levels of hunger and suffering,"" United Nations Secretary-General António Guterres said March 18. ""This is the highest number of people facing catastrophic hunger ever recorded by the Integrated Food Security Classification system — anywhere, anytime."" “Palestinians in Gaza are enduring horrifying levels of hunger and suffering” – UN Secretary-General António Guterres“We must act now to prevent the unthinkable, the unacceptable and the unjustifiable”Read more ⤵️https://t.co/0A43LYlodJ pic.twitter.com/BDm471tN0n Sign up for PolitiFact texts — UN News (@UN_News_Centre) March 18, 2024 A March 18 report by a group of international organizations that evaluate global food emergencies found that ""famine is imminent"" in parts of Gaza. Using the Integrated Food Security Phase Classification system, the report estimated that from mid-March to mid-July, 1.1 million people — about half of the Gazan population — will face ""catastrophic"" food insecurity, when starvation, death and ""extremely critical acute malnutrition levels"" are evident. From Feb. 15 to March 15, the report said, 677,000 people in Gaza faced ""catastrophic"" levels of food insecurity. The Israel-Hamas war and ""extremely limited"" access for humanitarian groups to provide aid within Gaza are driving the hunger crisis, the report said. (Screenshot from the Integrated Food Security Phase Classification’s Special Brief: The Gaza Strip Acute Food Insecurity Analysis March 2024 report.) Guterres’ statement is specific and accurate. We found no instances since the tracking system’s creation about two decades ago in which more people in one place were classified as experiencing ""catastrophic"" hunger or famine. At the same time, his statement might have left some listeners, particularly those unfamiliar with this 20-year-old global tracking system, wondering how the Gaza situation compares with other hunger crises throughout history. We contacted Guterres and a spokesperson with the Integrated Food Security Phase Classification system and received no reply. Data and experts backed Guterres’ statement. Ron Dermer, minister for strategic affairs in Israel, on March 26 disputed the report of imminent famine. The global food insecurity evaluation system The Integrated Food Security Phase Classification system Guterres referred to, created in 2004, is used to classify ""the severity and magnitude of food insecurity and malnutrition"" globally. The system, sometimes called IPC, is described as the main tool the international community uses to analyze data and determine whether famine is happening or projected to occur in a country. In January, Arif Husain, the United Nations World Food Program chief economist, explained how IPC analysis reports are produced. ""This is an exercise that has about 23 partners, including 19 U.N. agencies and international (nongovernmental organizations) and about four donors,"" Husain told The New Yorker. He said the group’s findings are independent and a consensus-based analysis. When have the worst levels of food insecurity been reported? The IPC’s system classifies acute food insecurity in five phases, with 1 meaning ""none/minimal,"" to 5, meaning ""catastrophe/famine."" Since the system’s creation, food insecurity levels have rarely reached phase 5 in any country. The IPC’s ""catastrophic"" phase 5 classification applies to households experiencing extreme lack of food. A phase 5 ""famine"" classification applies to an area in which at least 1 in 5 households face ""catastrophic"" food insecurity, and malnutrition and mortality are acute. IPC has classified two situations in the last 10 years as ""famine"": In 2011, in parts of southern Somalia about 490,000 people experienced catastrophic food insecurity because of conflict and drought. In 2017, almost 80,000 people in parts of South Sudan faced acute food insecurity because of three years of civil war, economic hardship and high food prices. Somalia was the ""clearest case in recent decades,"" and ""Gaza has surpassed those numbers today,"" wrote Alex de Waal, the World Peace Foundation executive director, following the March IPC report’s release. In January, de Waal said the IPC phase 5 designation ""is exceptional and rare."" Based on the information we could find, 677,000 people facing catastrophic hunger, as the report said they are in Gaza, is unprecedented. We searched Google and Nexis, a database of news reports, and found other instances in which acute food insecurity reached phase 5 catastrophic levels, even if the IPC did not designate a famine. These included: In June 2021, 353,000 people in Ethiopia. (The Ethiopian government disputed the analysis.) In March 2022, 31,000 people in Yemen. In May 2022, 20,000 people in Afghanistan. In October 2022, 19,000 people in Haiti. In November 2023, 35,000 people in South Sudan. Beth Bechdol, the Food and Agriculture Organization’s deputy director general, told The Washington Post that, as of the March report, Gaza has the largest percentage of a population to receive its most severe rating since the IPC began reporting in 2004. The report said 30% of Gaza’s population is currently in phase 5. The World Peace Foundation’s de Waal, who wrote the book ""Mass Starvation: The History and Future of Famine,"" told PolitiFact that someone would have to look back to before World War II to find incidents of food insecurity ""of comparable intensity."" ""The absolute numbers of people who will die in Gaza’s catastrophe will not match the great and calamitous famines of the 20th century, solely because the afflicted population is smaller,"" he wrote in January. ""The proportionate death toll may be comparable."" A nurse cares for premature babies March 8, 2024, in a hospital in Rafah, Gaza Strip. Sixteen premature babies have died of malnutrition-related causes over the past five weeks at the hospital, a senior doctor told The Associated Press. (AP) The classification scale’s limitations The IPC system has been used in at least 30 countries but is not used everywhere — so it has not designated catastrophic hunger or famine in places such as Syria, where conflict has caused significant food insecurity for millions of people. And the most dire situations are also those in which data is hardest to gather, said Erin Lentz, a University of Texas public affairs professor who studies food insecurity. In Gaza, ""it’s really difficult to get a handle on what’s happening with mortality rates,"" which is a component of a famine classification, Lentz said. The Sudan situation is similar, she said. Conflict between Sudan’s military and a violent paramilitary group has put the country at risk of becoming the world’s largest hunger crisis, according to the U.N. IPC classifications, which require a group of analysts to reach consensus, also take time, Lentz said. ""So not only is it hard to collect data, but in places like Gaza and in Sudan, the situation is so dynamic, the data are often out of date pretty quickly,"" she said. Palestinians crowd together Nov. 8, 2023, as they wait for food distribution in Rafah, southern Gaza Strip. (AP) Other famines, some that predated the IPC The World Food Program said five famines have been declared since the mid-1980s, four of them before the IPC system was created: A 1984 Ethiopia famine killed an estimated 400,000 to 1 million people. Beginning in 1992, a Somalia famine killed more than 200,000 people. In the mid-1990s, a North Korea famine is estimated to have killed between 200,000 and 1 million people. In 2000, the Somali region of Ethiopia experienced famine, but mortality data was scarce. Parts of southern Sudan faced famine in 2008. We could not find information about whether these parts of Sudan were classified as facing phase 5 ""catastrophic"" hunger. The earliest analysis on the IPC’s website is from 2011 and we found no news reports stating whether the classification system was used in 2008. Our ruling Guterres said Gaza has ""the highest number of people facing catastrophic hunger ever recorded"" by the IPC system ""anywhere, anytime."" He’s right about the IPC system’s data. A March report using the IPC system found that 677,000 Gazans currently face catastrophic acute food insecurity and projected that 1.1 million people are expected to face such acute food insecurity from March 16 to July 15. It’s worth noting that the IPC system is not used in every country. But we found no instances in which more than 677,000 people were classified as experiencing ""catastrophic"" hunger or famine in any one location since the system’s creation in 2004. Guterres’ statement is accurate, so we rate it True. PolitiFact Researcher Caryn Baird contributed to this report."
Anissa,HALF TRUE,Joe Biden,"""Insulin for Medicare beneficiaries ""was costing 400 bucks a month on average. It now costs $35 a month.""",x,2024-03-19,Speech,PolitiFact,4/2/2024,https://www.PolitiFact.com/factchecks/2024/apr/02/joe-biden/biden-is-right-about-35-insulin-cap-but-exaggerate/,,
